"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","FI","Finland",0.021655460,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","FR","France",0.068415910,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","IE","Ireland",0.020273160,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","IT","Italy",0.012663270,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","SE","Sweden",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2010","UK","United Kingdom",0.128165990,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","AT","Austria",0.021991420,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","BE","Belgium",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","DE","Germany",0.015706600,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","DK","Denmark",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","ES","Spain",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EU27_21","EU (without UK)",0.008126000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EU27_UK_21","EU (with UK until 2019)",0.010339000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",0.008126000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",0.010339000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","FR","France",0.018857870,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","IT","Italy",0.003474740,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","SE","Sweden",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2011","UK","United Kingdom",0.022776560,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","BE","Belgium",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","DE","Germany",0.011282760,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","DK","Denmark",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","ES","Spain",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EU27_21","EU (without UK)",0.008032000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.012034000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.008032000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.012034000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","FR","France",0.018027840,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","IT","Italy",0.009547320,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","SE","Sweden",0.023884180,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2012","UK","United Kingdom",0.034660610,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","BE","Belgium",0.066438140,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","CZ","Czechia",0.000000000,""
