"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","All cases","Reported cases","N","2009","EU27_21","EU (without UK)",4385.000000000,""
"Malaria","All cases","Reported cases","N","2009","EU27_UK_21","EU (with UK until 2019)",5880.000000000,""
"Malaria","All cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",4419.000000000,""
"Malaria","All cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",5914.000000000,""
"Malaria","All cases","Reported cases","N","2009","FI","Finland",34.000000000,""
"Malaria","All cases","Reported cases","N","2009","FR","France",2200.000000000,""
"Malaria","All cases","Reported cases","N","2009","HU","Hungary",8.000000000,""
"Malaria","All cases","Reported cases","N","2009","IE","Ireland",90.000000000,""
"Malaria","All cases","Reported cases","N","2009","IT","Italy",636.000000000,""
"Malaria","All cases","Reported cases","N","2009","LT","Lithuania",3.000000000,""
"Malaria","All cases","Reported cases","N","2009","LU","Luxembourg",3.000000000,""
"Malaria","All cases","Reported cases","N","2009","LV","Latvia",6.000000000,""
"Malaria","All cases","Reported cases","N","2009","MT","Malta",1.000000000,""
"Malaria","All cases","Reported cases","N","2009","NL","Netherlands",238.000000000,""
"Malaria","All cases","Reported cases","N","2009","NO","Norway",34.000000000,""
"Malaria","All cases","Reported cases","N","2009","PL","Poland",22.000000000,""
"Malaria","All cases","Reported cases","N","2009","PT","Portugal",44.000000000,""
"Malaria","All cases","Reported cases","N","2009","RO","Romania",12.000000000,""
"Malaria","All cases","Reported cases","N","2009","SE","Sweden",81.000000000,""
"Malaria","All cases","Reported cases","N","2009","SI","Slovenia",7.000000000,""
"Malaria","All cases","Reported cases","N","2009","SK","Slovakia",0.000000000,""
"Malaria","All cases","Reported cases","N","2009","UK","United Kingdom",1495.000000000,""
"Malaria","All cases","Reported cases","N","2010","AT","Austria",48.000000000,""
"Malaria","All cases","Reported cases","N","2010","BE","Belgium",1.000000000,""
"Malaria","All cases","Reported cases","N","2010","BG","Bulgaria",5.000000000,""
"Malaria","All cases","Reported cases","N","2010","CY","Cyprus",1.000000000,""
"Malaria","All cases","Reported cases","N","2010","CZ","Czechia",11.000000000,""
"Malaria","All cases","Reported cases","N","2010","DE","Germany",633.000000000,""
"Malaria","All cases","Reported cases","N","2010","EE","Estonia",1.000000000,""
"Malaria","All cases","Reported cases","N","2010","EL","Greece",44.000000000,""
