nuts3_id,water_area_km2,water_bodies_count,water_pct
DE948,1.52,2,0.11
DE94C,10.52,2,0.93
DE94D,1.38,1,0.13
DE94E,1.19,1,0.06
DE94G,4.6,1,0.53
DEA11,8.93,1,4.79
DEA12,11.86,2,5.66
DEA13,1.93,1,0.91
DEA14,1.77,1,1.59
DEA1B,19.97,3,1.54
DEA1C,3.29,2,0.71
DEA1D,5.85,1,1.03
DEA1E,1.27,2,0.22
DEA1F,17.07,3,1.61
DEA22,5.13,1,3.72
DEA23,12.43,1,3.01
DEA24,0.35,1,0.61
DEA26,8.47,4,0.92
DEA27,0.43,1,0.06
DEA28,5.01,4,0.36
DEA2A,12.07,7,1.3
DEA2B,1.82,2,0.4
DEA2C,11.8,2,1.06
DEA2D,3.27,2,0.44
DEA35,0.79,2,0.07
DEA36,2.71,2,0.35
DEA42,0.37,1,0.04
DEA47,1.56,1,0.12
DEA52,0.34,1,0.15
DEA53,0.34,1,0.28
DEA56,4.18,4,0.9
DEA57,5.75,3,0.29
DEA58,4.61,3,0.44
DEA59,6.74,2,1.01
DEA5A,2.31,2,0.2
DEA5B,9.53,1,0.71
DEB11,5.43,1,4.92
DEB12,3.24,1,0.44
DEB15,0.47,1,0.06
DEB17,15.25,2,1.74
DEB18,5.13,1,0.91
DEB1A,7.26,1,0.94
DEB1B,2.37,3,0.23
DEB1D,5.51,1,0.57
DEB25,1.09,2,0.1
DEB39,5.49,1,4.99
DEB3B,0.7,1,0.11
DEB3E,4.1,1,0.93
DEB3I,2.07,2,0.67
DEB3J,20.3,1,2.9
DEC06,1.25,1,0.27
DED21,0.45,1,0.16
DED2C,34.93,25,1.45
DED2D,21.5,25,0.99
DED2E,6.43,13,0.44
DED2F,5.27,4,0.32
DED42,7.75,5,0.43
DED43,4.12,3,0.19
DED44,8.7,5,0.6
DED45,1.49,3,0.15
DED52,11.51,15,0.74
DED53,3.16,6,0.16
DEE02,0.88,1,0.85
DEE04,4.94,1,0.22
DEE05,8.81,6,0.59
DEE06,0.57,2,0.04
DEE07,1.7,1,0.07
DEE08,2.25,4,0.15
DEE09,8.89,3,0.42
DEE0A,9.83,3,0.64
DEE0B,6.05,5,0.41
DEE0C,1.19,2,0.08
DEE0D,12.28,4,0.51
DEE0E,3.51,5,0.17
DEF02,0.0,1,0.0
DEF03,3.15,2,1.4
DEF05,6.12,1,0.42
DEF06,39.4,11,3.03
DEF07,10.29,4,0.52
DEF08,19.24,14,1.5
DEF0A,94.74,27,8.97
DEF0B,42.39,19,1.93
DEF0C,48.54,8,2.45
DEF0D,9.52,8,0.74
DEF0F,1.73,3,0.21
DEG07,0.22,1,0.03
DEG0C,3.76,3,0.42
DEG0E,1.11,1,0.12
DEG0K,12.63,6,1.15
DEG0L,5.01,4,0.61
DEG0M,2.2,2,0.39
DEG0Q,0.57,1,0.04
DEG0U,6.15,2,0.59
DK011,0.8,1,0.48
DK012,2.29,4,0.75
DK013,71.2,10,4.87
DK021,1.69,3,0.19
DK022,59.29,17,0.95
DK031,6.81,7,0.2
DK032,18.21,19,0.21
DK041,254.31,26,3.58
DK042,104.85,28,1.69
DK050,447.06,16,5.45
EE001,18.49,7,0.41
EE004,66.62,21,0.61
EE008,1463.99,46,8.56
EE009,2.5,4,0.03
EE00A,514.31,7,14.73
EL305,4.27,1,0.28
EL511,7.49,4,0.18
EL512,17.64,4,0.98
EL513,34.99,6,1.46
EL515,22.8,6,1.01
EL522,127.53,6,3.39
EL523,41.39,4,1.67
EL524,38.59,1,1.55
EL526,51.17,4,1.32
EL531,82.39,1,1.43
EL532,26.85,1,1.51
EL533,142.18,6,7.34
EL541,31.45,7,1.21
EL543,17.32,1,0.35
EL611,23.26,2,0.38
EL631,203.24,11,3.78
EL632,1.44,1,0.05
EL633,20.13,4,0.75
EL641,24.86,1,0.85
EL642,20.58,2,0.47
EL643,48.41,1,2.71
EL651,3.78,2,0.06
EL652,4.6,2,0.21
ES111,61.32,6,0.8
ES112,47.99,6,0.48
ES113,74.56,12,1.03
ES114,9.03,2,0.21
ES120,16.55,3,0.16
ES130,51.17,3,0.95
ES211,26.38,3,0.86
ES220,72.54,8,0.69
ES230,32.77,7,0.64
ES241,116.16,25,0.75
ES242,53.24,13,0.36
ES243,129.1,22,0.75
ES300,52.05,10,0.65
ES411,31.18,7,0.39
ES412,26.28,7,0.19
ES413,79.34,10,0.51
ES414,37.01,6,0.46
ES415,115.81,8,0.94
ES416,15.77,4,0.23
ES417,21.32,2,0.21
ES418,12.84,2,0.16
ES419,190.39,20,1.77
ES421,71.44,13,0.48
ES422,38.74,11,0.2
ES423,155.19,8,0.91
ES424,98.71,6,0.81
ES425,55.9,11,0.37
ES431,328.1,18,1.49
ES432,473.94,15,2.39
ES511,18.66,3,0.24
ES512,19.1,6,0.32
ES513,90.43,19,0.74
ES514,37.32,6,0.59
ES521,41.84,5,0.71
ES522,13.42,4,0.2
ES523,107.71,10,1.01
ES531,2.55,1,0.39
ES532,0.1,1,0.0
ES533,0.79,1,0.12
ES611,1.47,2,0.02
ES612,52.94,6,0.72
ES613,107.7,13,0.78
ES614,33.53,5,0.26
ES615,49.85,10,0.49
ES616,113.27,9,0.83
ES617,31.36,4,0.42
ES618,33.47,6,0.24
ES620,32.42,5,0.29
FI196,387.16,50,4.62
FI198,2667.76,232,13.99
FI199,418.19,76,2.92
FI19A,47.82,34,0.61
FI19B,1986.45,144,12.73
FI1B1,393.92,109,3.92
FI1C1,106.32,39,0.89
FI1C2,396.77,77,6.99
FI1C5,1419.76,146,20.93
FI1C6,1126.37,83,16.19
FI1C7,346.77,86,6.74
FI1D5,117.16,30,2.23
FI1D7,4534.92,694,4.57
FI1D8,2032.12,353,8.98
FI1D9,1640.23,331,4.17
FI1DA,3985.56,260,23.52
FI1DB,3459.86,247,16.55
FI1DC,3701.95,242,16.1
FI200,17.94,14,0.87
FR101,3.1,1,6.2
FR102,19.52,3,0.32
FR103,35.32,4,1.52
FR104,12.47,1,0.68
FR105,6.59,1,4.05
FR106,3.42,1,1.17
FR107,5.15,1,2.2
FR108,11.3,3,0.9
FRB01,37.59,6,0.51
FRB02,0.73,1,0.01
FRB03,10.11,13,0.15
FRB04,45.99,5,0.76
FRB05,23.18,3,0.35
FRB06,51.4,9,0.74
FRC11,10.11,11,0.12
FRC12,59.98,10,0.87
FRC13,23.81,15,0.27
FRC14,6.71,7,0.09
FRC21,4.71,2,0.09
FRC22,6.15,5,0.12
FRC23,1.75,3,0.03
FRC24,0.19,1,0.03
FRD11,0.9,1,0.02
FRD12,0.74,1,0.01
FRD13,1.03,2,0.02
FRD21,30.55,4,0.51
FRD22,48.16,1,0.78
FRE11,7.1,7,0.12
FRE12,1.06,2,0.02
FRE21,4.42,7,0.06
FRE23,6.07,8,0.1
FRF11,9.31,3,0.19
FRF12,14.86,2,0.42
FRF21,3.82,4,0.07
FRF22,24.04,2,0.39
FRF23,22.16,2,0.27
FRF24,27.48,4,0.44
FRF31,5.78,3,0.11
FRF32,15.74,7,0.25
FRF33,32.6,22,0.52
FRF34,3.19,3,0.05
FRG01,104.33,12,1.53
FRG02,72.9,4,1.0
FRG03,7.39,9,0.14
FRG04,1.47,3,0.02
FRG05,10.28,3,0.15
FRH01,26.27,12,0.38
FRH02,19.32,9,0.31
FRH03,40.2,32,0.57
FRH04,23.36,6,0.34
FRI11,6.54,3,0.07
FRI12,196.38,10,1.94
FRI13,92.79,21,0.99
FRI14,32.7,7,0.6
FRI15,10.14,5,0.13
FRI21,31.42,11,0.54
FRI22,23.8,12,0.42
FRI23,6.88,5,0.13
FRI31,0.63,1,0.01
FRI33,0.51,1,0.01
FRI34,4.07,7,0.06
FRJ11,55.3,6,0.86
FRJ12,82.16,13,1.4
FRJ13,136.89,9,2.16
FRJ14,2.36,1,0.05
FRJ15,40.85,5,0.97
FRJ21,0.0,1,0.0
FRJ22,37.83,10,0.43
FRJ23,16.75,2,0.26
FRJ26,0.7,2,0.02
FRJ27,9.95,3,0.18
FRJ28,22.84,3,0.6
FRK11,35.19,9,0.48
FRK12,34.22,6,0.58
FRK13,6.07,1,0.12
FRK14,17.93,7,0.22
FRK21,17.76,10,0.31
FRK22,21.7,9,0.39
FRK23,4.93,4,0.07
FRK24,22.55,10,0.28
